X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12
Alcona,47,44,NA,0,0,0,0,NA,NA,NA,NA
Alger,54,51,NA,NA,0,NA,NA,NA,NA,NA,NA
Allegan,885,850,NA,NA,NA,NA,NA,35,4,NA,NA
Alpena,226,225,NA,0,0,0,0,NA,NA,NA,NA
Antrim,207,204,NA,0,0,0,0,NA,NA,NA,NA
Arenac,171,169,NA,NA,0,NA,NA,NA,NA,NA,NA
Baraga,119,118,0,NA,0,NA,NA,NA,NA,NA,NA
Barry,356,342,NA,NA,NA,NA,NA,14,3.9,NA,NA
Bay,"1,034",977,39,NA,NA,18,1.7,57,5.5,NA,NA
Benzie,168,166,NA,NA,0,NA,NA,NA,NA,NA,NA
Berrien,"1,480","1,422",30,NA,NA,28,1.9,58,3.9,NA,NA
Branch,513,501,NA,NA,NA,NA,NA,12,2.3,NA,NA
Calhoun,"1,329","1,257",18,45,9,54,4.1,72,5.4,NA,NA
Cass,365,353,NA,NA,0,NA,NA,12,3.3,NA,NA
Charlevoix,252,250,NA,NA,0,NA,NA,NA,NA,NA,NA
Cheboygan,194,193,0,NA,0,NA,NA,NA,NA,NA,NA
Chippewa,267,262,NA,NA,NA,NA,NA,NA,NA,NA,NA
Clare,342,341,0,NA,0,NA,NA,NA,NA,NA,NA
Clinton,462,454,NA,0,NA,NA,NA,8,1.7,NA,NA
Crawford,85,84,0,NA,0,NA,NA,NA,NA,NA,NA
Delta,373,354,12,7,0,7,1.9,19,5.1,NA,NA
Dickinson,155,155,0,0,0,0,0,0,0,NA,NA
Eaton,768,742,13,13,0,13,1.7,26,3.4,NA,NA
Emmet,284,284,0,0,0,0,0,0,0,NA,NA
Genesee,"5,372","5,229",66,68,9,77,1.4,143,2.7,NA,NA
Gladwin,264,262,NA,NA,0,NA,NA,NA,NA,NA,NA
Gogebic,147,140,NA,NA,0,NA,NA,7,4.8,NA,NA
Grand Traverse,684,668,9,7,0,7,1,16,2.3,NA,NA
Gratiot,402,399,NA,0,0,0,0,NA,NA,NA,NA
Hillsdale,607,591,NA,NA,0,NA,NA,16,2.6,NA,NA
Houghton,368,354,NA,NA,NA,NA,NA,NA,14,NA,3.8
Huron,264,259,NA,0,NA,NA,NA,NA,NA,NA,NA
Ingham,"3,802","3,699",50,NA,NA,53,1.4,NA,103,NA,2.7
Ionia,621,599,12,NA,NA,10,1.6,NA,22,NA,3.5
Iosco,241,231,NA,NA,NA,NA,NA,NA,10,NA,4.1
Iron,98,97,NA,0,0,0,0,NA,NA,NA,NA
Isabella,409,405,NA,NA,0,NA,NA,NA,NA,NA,NA
Jackson,"1,983","1,858",85,NA,NA,40,2,NA,125,NA,6.3
Kalamazoo,"2,453","2,352",73,NA,NA,28,1.1,NA,101,NA,4.1
Kalkaska,130,129,0,NA,0,NA,NA,NA,NA,NA,NA
Kent,"7,185","6,654",397,118,16,134,1.9,NA,531,NA,7.4
Keweenaw,17,17,0,0,0,0,0,NA,0,NA,0
Lake,99,98,NA,0,0,0,0,NA,NA,NA,NA
Lapeer,619,602,NA,0,NA,NA,NA,NA,17,NA,2.7
Leelanau,132,126,NA,NA,0,NA,NA,NA,6,NA,4.5
Lenawee,678,594,62,NA,NA,22,3.2,NA,84,NA,12.4
Livingston,662,657,NA,NA,0,NA,NA,NA,NA,NA,NA
Luce,66,66,0,0,0,0,0,NA,0,NA,0
Mackinac,98,97,0,NA,0,NA,NA,NA,NA,NA,NA
Macomb,"6,601","6,526",53,NA,NA,22,0.3,NA,75,NA,1.1
Manistee,201,195,NA,0,NA,NA,NA,NA,6,NA,3
Marquette,358,349,NA,NA,0,NA,NA,NA,9,NA,2.5
Mason,298,274,NA,NA,0,NA,NA,NA,24,NA,8.1
Mecosta,234,232,NA,0,0,0,0,NA,NA,NA,NA
Menominee,175,166,NA,NA,NA,NA,NA,NA,9,NA,5.1
Midland,312,305,NA,NA,0,NA,NA,NA,7,NA,2.2
Missaukee,112,111,0,NA,0,NA,NA,NA,NA,NA,NA
Monroe,807,795,NA,NA,NA,NA,NA,NA,12,NA,1.5
Montcalm,764,750,NA,NA,0,NA,NA,NA,14,NA,1.8
Montmorency,61,61,0,0,0,0,0,NA,0,NA,0
Muskegon,"1,937","1,835",48,45,9,54,2.8,NA,102,NA,5.3
Newaygo,351,346,NA,NA,0,NA,NA,NA,NA,NA,NA
Oakland,"6,971","6,862",49,NA,NA,NA,NA,109,NA,NA,1.6
Oceana,374,365,NA,NA,0,NA,NA,9,NA,NA,2.4
Ogemaw,151,151,0,0,0,NA,NA,0,NA,NA,0
Ontonagon,28,27,0,NA,0,NA,NA,NA,NA,NA,NA
Osceola,243,240,NA,0,0,NA,NA,NA,NA,NA,NA
Oscoda,86,86,0,0,0,NA,NA,0,NA,NA,0
Otsego,248,248,0,0,0,NA,NA,0,NA,NA,0
Ottawa,"1,492","1,455",30,7,0,NA,NA,37,NA,NA,2.5
Presque Isle,83,82,NA,0,0,NA,NA,NA,NA,NA,NA
Roscommon,177,176,NA,0,0,NA,NA,NA,NA,NA,NA
Saginaw,"2,462","2,375",69,NA,NA,NA,NA,87,NA,NA,3.5
Saint Clair,"2,278","2,174",93,NA,NA,NA,NA,104,NA,NA,4.6
Saint Joseph,745,716,NA,NA,0,NA,NA,29,NA,NA,3.9
Sanilac,324,312,NA,NA,0,NA,NA,12,NA,NA,3.7
Schoolcraft,72,72,0,0,0,NA,NA,0,NA,NA,0
Shiawassee,923,875,42,6,0,NA,NA,48,NA,NA,5.2
Tuscola,606,600,NA,NA,0,NA,NA,6,NA,NA,1
Van Buren,587,558,19,10,0,NA,NA,29,NA,NA,4.9
Washtenaw,"1,635","1,609",11,NA,NA,NA,NA,26,NA,NA,1.6
Wayne,"30,764","29,072",347,"1,208",137,NA,NA,"1,692",NA,NA,5.5
Wexford,282,278,NA,NA,0,NA,NA,NA,NA,NA,NA
MICHIGAN,"100,279","96,259","1,880","1,912",228,NA,NA,"4,020",NA,NA,4
